participant,question,original_column,phase,response
3,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
4,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
5,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
6,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
7,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
8,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
9,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
10,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
11,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
12,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
13,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
14,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
15,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
16,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
17,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
18,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
19,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
20,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
21,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
22,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
23,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
24,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
25,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
26,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
27,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
28,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
29,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,No
30,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
0,What is your current age?,What is your current age?,yes/no,25-27
1,What is your current age?,What is your current age?,yes/no,27+
2,What is your current age?,What is your current age?,yes/no,22-24
3,What is your current age?,What is your current age?,yes/no,22-24
4,What is your current age?,What is your current age?,yes/no,27+
5,What is your current age?,What is your current age?,yes/no,22-24
6,What is your current age?,What is your current age?,yes/no,22-24
7,What is your current age?,What is your current age?,yes/no,22-24
8,What is your current age?,What is your current age?,yes/no,19-21
9,What is your current age?,What is your current age?,yes/no,22-24
10,What is your current age?,What is your current age?,yes/no,22-24
11,What is your current age?,What is your current age?,yes/no,22-24
12,What is your current age?,What is your current age?,yes/no,25-27
13,What is your current age?,What is your current age?,yes/no,19-21
14,What is your current age?,What is your current age?,yes/no,19-21
15,What is your current age?,What is your current age?,yes/no,25-27
16,What is your current age?,What is your current age?,yes/no,22-24
17,What is your current age?,What is your current age?,yes/no,27+
18,What is your current age?,What is your current age?,yes/no,25-27
19,What is your current age?,What is your current age?,yes/no,25-27
20,What is your current age?,What is your current age?,yes/no,22-24
21,What is your current age?,What is your current age?,yes/no,22-24
22,What is your current age?,What is your current age?,yes/no,22-24
23,What is your current age?,What is your current age?,yes/no,25-27
24,What is your current age?,What is your current age?,yes/no,22-24
25,What is your current age?,What is your current age?,yes/no,22-24
26,What is your current age?,What is your current age?,yes/no,25-27
27,What is your current age?,What is your current age?,yes/no,22-24
28,What is your current age?,What is your current age?,yes/no,27+
29,What is your current age?,What is your current age?,yes/no,27+
30,What is your current age?,What is your current age?,yes/no,22-24
0,With which gender do you identify?,With which gender do you identify?,yes/no,Female
1,With which gender do you identify?,With which gender do you identify?,yes/no,Male
2,With which gender do you identify?,With which gender do you identify?,yes/no,Prefer not to say
3,With which gender do you identify?,With which gender do you identify?,yes/no,Female
4,With which gender do you identify?,With which gender do you identify?,yes/no,Male
5,With which gender do you identify?,With which gender do you identify?,yes/no,Female
6,With which gender do you identify?,With which gender do you identify?,yes/no,Female
7,With which gender do you identify?,With which gender do you identify?,yes/no,Male
8,With which gender do you identify?,With which gender do you identify?,yes/no,Female
9,With which gender do you identify?,With which gender do you identify?,yes/no,Male
10,With which gender do you identify?,With which gender do you identify?,yes/no,Prefer not to say
11,With which gender do you identify?,With which gender do you identify?,yes/no,Male
12,With which gender do you identify?,With which gender do you identify?,yes/no,Female
13,With which gender do you identify?,With which gender do you identify?,yes/no,Male
14,With which gender do you identify?,With which gender do you identify?,yes/no,Male
15,With which gender do you identify?,With which gender do you identify?,yes/no,Female
16,With which gender do you identify?,With which gender do you identify?,yes/no,Male
17,With which gender do you identify?,With which gender do you identify?,yes/no,Male
18,With which gender do you identify?,With which gender do you identify?,yes/no,Male
19,With which gender do you identify?,With which gender do you identify?,yes/no,Female
20,With which gender do you identify?,With which gender do you identify?,yes/no,Male
21,With which gender do you identify?,With which gender do you identify?,yes/no,Female
22,With which gender do you identify?,With which gender do you identify?,yes/no,Male
23,With which gender do you identify?,With which gender do you identify?,yes/no,Non-binary
24,With which gender do you identify?,With which gender do you identify?,yes/no,Male
25,With which gender do you identify?,With which gender do you identify?,yes/no,Male
26,With which gender do you identify?,With which gender do you identify?,yes/no,Male
27,With which gender do you identify?,With which gender do you identify?,yes/no,Male
28,With which gender do you identify?,With which gender do you identify?,yes/no,Male
29,With which gender do you identify?,With which gender do you identify?,yes/no,Female
30,With which gender do you identify?,With which gender do you identify?,yes/no,Female
0,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
1,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
2,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
3,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
4,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
5,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
6,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
7,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
8,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
9,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
10,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
11,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
12,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
13,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
14,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
15,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
16,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
17,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
18,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
19,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
20,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Hybrid
21,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
22,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
23,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
24,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
25,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
26,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
27,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
28,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
29,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
30,Did you primarily attend university remotely or in person during the pandemic?,Did you primarily attend university remotely or in person during the pandemic?,yes/no,Mostly remote
0,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
1,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
2,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
3,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,5 - Always
4,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
5,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
6,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
7,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
8,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
9,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,2 - Rarely
10,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
11,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
12,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
13,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
14,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
15,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
16,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
17,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
18,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
19,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
20,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
21,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
22,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
23,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
24,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,5 - Always
25,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
26,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
28,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
29,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,4 - Often
30,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),before,2 - Rarely
0,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
1,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
2,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
3,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
4,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
5,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
6,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
7,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,1 - Never
8,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
9,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
10,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
11,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
12,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
13,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
14,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
15,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
16,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,5 - Always
17,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
18,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
19,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
20,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
21,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
22,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
23,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,1 - Never
24,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
25,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
26,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
27,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
28,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
29,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,1 - Never
30,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
0,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,5 - Always
1,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
2,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,2 - Rarely
3,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
4,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
5,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
6,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
7,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,2 - Rarely
8,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
9,I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index),I have felt cheerful and in good spirits. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
